"","State","Year","sum_Population","mean_Model.based.Death.Rate","mean_Standard.Deviation","mean_Lower.Confidence.Limit","mean_Upper.Confidence.Limit","sum_Tot_Clms","sum_Tot_Opioid_Clms","mean_Opioid_Prscrbng_Rate","mean_Opioid_Prscrbng_Rate_1Y_Chg","mean_Opioid_Prscrbng_Rate_5Y_Chg","high_overdose_death_rate","perc_opioid_clms"
"64","Iowa",2021,3193079,13.2803032323232,2.30049757575758,9.60849343434344,18.590794040404,15604328,1082750,6.19333333333333,0.246666666666667,1.41666666666667,FALSE,6.93878006153165
"65","Kansas",2018,2912748,11.3333821904762,2.17047057142857,7.97848057142857,16.4404942857143,6708170,304020,3.49666666666667,-1.18333333333333,-3.10333333333333,FALSE,4.53208550170911
"66","Kansas",2019,2912635,11.834260952381,2.26634257142857,8.33115638095238,17.1669502857143,6455574,213220,2.73666666666667,-0.76,-2.95666666666667,FALSE,3.30288212945898
"67","Kansas",2020,2913805,15.3266060952381,2.93483171428571,10.7901147619048,22.2321528571429,6218098,181134,2.3,-0.436666666666667,-2.89,FALSE,2.91301295026228
"68","Kansas",2021,2934582,17.6900846666667,3.38718047619048,12.4543021904762,25.659922952381,6836094,182054,1.91666666666667,-0.383333333333333,-2.97666666666667,FALSE,2.66312897394331
"69","Kentucky",2018,4464273,32.7782525,3.19261116666667,27.2083168333333,39.7075375833333,45359192,1604566,3.10666666666667,-0.443333333333333,-1.60333333333333,TRUE,3.53746601129932
"70","Kentucky",2019,4472345,34.2263684166667,3.33345466666667,28.41067925,41.46131075,44273560,1319610,2.45666666666667,-0.65,-1.82333333333333,TRUE,2.98058254181502
"71","Kentucky",2020,4477251,44.3238018333333,4.31540116666667,36.7946968333333,53.6896996666667,42198496,1239766,2.58,0.123333333333333,-1.04333333333333,TRUE,2.93793883080572
"72","Kentucky",2021,4509394,51.15562075,4.97964433333333,42.4674179166667,61.9629703333333,43670432,1113306,2.21333333333333,-0.366666666666667,-1.60333333333333,TRUE,2.54933589848619
"73","Louisiana",2018,4664450,20.90689984375,1.84075453125,17.70769953125,24.91289046875,37725860,1469550,3.01333333333333,-0.896666666666667,-3.65666666666667,FALSE,3.89533863509009
"74","Louisiana",2019,4658285,21.8308609375,1.92195328125,18.49053234375,26.01355453125,38025294,1238790,2.52666666666667,-0.486666666666667,-3.89333333333333,FALSE,3.25780518620053
"75","Louisiana",2020,4645318,28.2731596875,2.48810875,23.94879609375,33.68789890625,37649300,1120174,2.29666666666667,-0.23,-2.68,TRUE,2.97528506506097
"76","Louisiana",2021,4624047,32.63338453125,2.87118734375,27.643174375,38.88174859375,40004784,1125534,2.14,-0.156666666666667,-2.4,TRUE,2.81349850557873
"77","Maine",2018,1340123,23.458703125,1.653320625,20.47264,26.950526875,3805548,143560,3.77,-0.27,-3.11,FALSE,3.77238705174656
